t,value
1647547410,45103144
1647547440,45103144
1647547470,45103144
1647547500,45103144
1647547530,45103144
1647547560,45103144
1647547590,45103144
1647547620,46745144
1647547650,46745144
1647547680,46745144
1647547710,46745144
1647547740,46745144
1647547770,46745144
1647547801,46745144
1647547831,46745144
1647547861,46745144
1647547891,46745144
1647547921,46745144
1647547951,46745144
1647547981,46745144
1647548011,46745144
1647548041,46745144
1647548071,46745144
1647548101,46376440
1647548131,46376440
1647548161,46376440
1647548191,46376440
1647548221,46376440
1647548251,46376440
1647548281,54765048
1647548311,54765048
1647548341,54765048
1647548371,54765048
1647548401,54765048
1647548431,54765048
1647548461,54765048
1647548491,46376440
1647548521,46376440
1647548551,46376440
1647548581,46376440
1647548611,46376440
1647548641,46376440
1647548671,46376440
1647548701,46376440
1647548731,46376440
1647548761,46376440
1647548791,46376440
1647548821,46376440
1647548851,46376440
1647548881,46376440
1647548911,46376440
1647548941,46376440
1647548971,46376440
1647549001,46376440
1647549031,46376440
1647549061,46376440
1647549091,46376440
1647549121,46376440
1647549152,46376440
1647549182,46376440
1647549212,46376440
1647549242,46376440
1647549272,46376440
1647549302,46376440
1647549332,46376440
1647549362,46376440
1647549392,46376440
1647549422,46376440
1647549452,46376440
1647549482,46376440
1647549512,46376440
1647549542,46376440
1647549572,46376440
1647549602,46376440
1647549632,46376440
1647549662,46376440
1647549692,46376440
1647549722,46376440
1647549752,46376440
1647549782,46376440
1647549812,46376440
1647549842,46900728
1647549872,46900728
1647549902,46900728
1647549932,46900728
1647549962,46900728
1647549992,46900728
1647550022,46900728
1647550052,54240760
1647550082,46900728
1647550112,46900728
1647550142,46900728
1647550172,46900728
1647550202,46900728
1647550232,46900728
1647550262,46900728
1647550292,46900728
1647550322,46900728
1647550352,50517496
1647550382,50517496
1647550412,50517496
1647550442,50517496
1647550472,50517496
1647550502,50517496
1647550532,50517496
1647550562,50517496
1647550593,50517496
1647550623,50517496
1647550653,50517496
1647550683,50517496
1647550713,50517496
1647550743,50517496
1647550773,50517496
1647550803,50517496
1647550833,50517496
1647550863,50517496
1647550893,50517496
1647550923,58906104
1647550953,58906104
1647550983,50517496
1647551013,50517496
1647551043,50517496
1647551073,50517496
1647551103,50517496
1647551133,50517496
1647551163,50517496
1647551193,50517496
1647551224,50517496
1647551254,50517496
1647551284,50517496
1647551314,50517496
1647551344,50517496
1647551374,50517496
1647551404,50517496
1647551434,50517496
1647551464,50517496
1647551494,50517496
1647551524,49993208
1647551554,49993208
1647551584,49993208
1647551614,49993208
1647551644,49993208
1647551674,50517496
1647551704,50517496
1647551734,50517496
1647551764,50517496
1647551794,50517496
1647551824,50517496
1647551854,55994872
1647551884,55470584
1647551914,55470584
1647551944,55470584
1647551974,55470584
1647552004,55470584
1647552034,60423672
1647552064,68812280
1647552094,68812280
1647552124,68812280
1647552154,61341688
1647552184,61341688
1647552214,61341688
1647552244,61341688
1647552274,61341688
1647552304,61341688
1647552334,61341688
1647552364,61341688
1647552394,61341688
1647552424,61341688
1647552454,61341688
1647552487,61341688
1647552517,61341688
1647552547,61341688
1647552577,61341688
1647552607,64836600
1647553637,64836600
1647553667,65251832
1647553697,65251832
1647553727,65251832
1647553757,65251832
1647553787,65251832
1647553817,65251832
1647553847,65251832
1647553877,65251832
1647553907,66689528
